File,Pair,Count,Mean_Energy
dump_28.csv,4-5,698,-4.3233710888252155
dump_28.csv,5-5,875,-4.473894674285714
dump_29.csv,1-1,104,-3.6418619711538462
dump_29.csv,1-2,275,-3.7307192363636363
dump_29.csv,1-3,282,-4.064151489361702
dump_29.csv,1-4,259,-3.8971776254826254
dump_29.csv,1-5,254,-4.075475374015747
dump_29.csv,2-2,710,-3.8219037957746482
dump_29.csv,2-3,1000,-4.144406515
dump_29.csv,2-4,944,-3.9824418538135595
dump_29.csv,2-5,911,-4.15572565312843
dump_29.csv,3-3,933,-4.473329330117899
dump_29.csv,3-4,1175,-4.3197132340425535
dump_29.csv,3-5,1136,-4.4727935123239435
dump_29.csv,4-4,493,-4.157136673427991
dump_29.csv,4-5,674,-4.324883338278932
dump_29.csv,5-5,403,-4.4805350868486356
dump_30.csv,1-1,86,-3.641480174418605
dump_30.csv,1-2,192,-3.7224883593749998
dump_30.csv,1-3,249,-4.065323795180723
dump_30.csv,1-4,234,-3.9044678632478633
dump_30.csv,1-5,249,-4.065178052208835
dump_30.csv,2-2,253,-3.801731837944664
dump_30.csv,2-3,484,-4.131174617768595
dump_30.csv,2-4,443,-3.9729515801354403
dump_30.csv,2-5,481,-4.131405925155925
dump_30.csv,3-3,898,-4.468895150334076
dump_30.csv,3-4,1117,-4.323217833482542
dump_30.csv,3-5,1253,-4.465420901835595
dump_30.csv,4-4,462,-4.163239512987013
dump_30.csv,4-5,708,-4.323159830508475
dump_30.csv,5-5,914,-4.466536602844639
dump_31.csv,1-1,349,-3.6059658309455584
dump_31.csv,1-2,566,-3.694421899293286
dump_31.csv,1-3,556,-4.017503543165467
dump_31.csv,1-4,491,-3.8468195417515276
dump_31.csv,1-5,508,-4.03101000984252
dump_31.csv,2-2,822,-3.7992812652068126
dump_31.csv,2-3,1132,-4.1074028577738515
dump_31.csv,2-4,980,-3.9463915765306123
dump_31.csv,2-5,1042,-4.124447365642994
dump_31.csv,3-3,723,-4.418693084370678
dump_31.csv,3-4,883,-4.267028505096262
dump_31.csv,3-5,924,-4.427073874458874
dump_31.csv,4-4,326,-4.100979831288344
dump_31.csv,4-5,489,-4.279595040899795
dump_31.csv,5-5,370,-4.4376545
dump_32.csv,1-1,83,-3.650812168674699
dump_32.csv,1-2,190,-3.715441315789474
dump_32.csv,1-3,278,-4.061865791366906
dump_32.csv,1-4,245,-3.906264693877551
dump_32.csv,1-5,277,-4.063914584837545
dump_32.csv,2-2,169,-3.7881584319526627
dump_32.csv,2-3,381,-4.118302480314961
dump_32.csv,2-4,346,-3.96592524566474
dump_32.csv,2-5,379,-4.120467559366754
dump_32.csv,3-3,1009,-4.460290971258671
dump_32.csv,3-4,1217,-4.315897271980279
dump_32.csv,3-5,1352,-4.457248180473372
dump_32.csv,4-4,442,-4.160667149321267
dump_32.csv,4-5,689,-4.319348214804064
dump_32.csv,5-5,911,-4.458996926454446
dump_33.csv,1-1,47,-3.6501775531914893
dump_33.csv,1-2,141,-3.7256779787234042
dump_33.csv,1-3,199,-4.073518768844221
dump_33.csv,1-4,183,-3.9134548907103825
dump_33.csv,1-5,198,-4.073924343434343
dump_33.csv,2-2,168,-3.7991699404761903
dump_33.csv,2-3,376,-4.128907579787234
dump_33.csv,2-4,344,-3.9754983575581395
dump_33.csv,2-5,379,-4.128651543535621
dump_33.csv,3-3,1002,-4.47392505988024
